true_pattern,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,138,0,29,0,0,0,2,0,53,0,4,1,0,0,5,5
1,1,88,0,17,0,4,0,5,1,70,0,35,0,3,0,3
2,127,0,34,0,0,0,3,0,50,1,7,0,0,0,3,1
3,0,34,1,65,0,1,0,8,1,27,0,79,0,1,0,9
4,7,0,2,0,66,2,36,1,2,0,0,0,71,1,42,1
5,0,0,0,1,1,76,0,56,0,3,0,2,0,54,2,36
6,10,0,4,0,25,1,72,2,4,0,0,0,23,1,81,3
7,1,0,0,1,0,20,0,117,0,0,0,5,0,14,1,75
8,128,0,21,0,0,0,0,0,62,1,8,1,2,0,6,1
9,0,30,0,13,0,1,0,3,0,109,0,50,0,5,0,3
10,134,0,16,0,0,0,1,0,57,1,8,2,1,0,8,1
11,2,14,3,23,0,0,0,7,2,26,0,136,0,1,0,15
12,7,0,3,0,21,1,16,0,3,0,1,0,96,4,79,3
13,1,0,0,0,1,23,0,19,0,1,0,3,0,109,1,68
14,14,0,1,0,7,1,24,0,7,0,0,0,44,4,126,3
15,0,0,0,0,0,6,0,43,0,0,0,4,0,23,2,152
