pattern,n_samples,accuracy,accuracy_percent
0,237,0.0379746835443038,3.79746835443038
1,227,0.4581497797356828,45.81497797356828
2,226,0.6592920353982301,65.929203539823
3,226,0.5,50.0
4,231,0.38095238095238093,38.095238095238095
5,231,0.45454545454545453,45.45454545454545
6,226,0.5309734513274337,53.09734513274337
7,234,0.5854700854700855,58.54700854700855
8,230,0.2,20.0
9,214,0.4672897196261682,46.728971962616825
10,229,0.21397379912663755,21.397379912663755
11,229,0.5589519650655022,55.895196506550214
12,234,0.4017094017094017,40.17094017094017
13,226,0.3938053097345133,39.38053097345133
14,231,0.5021645021645021,50.21645021645021
15,230,0.5782608695652174,57.826086956521735
