pattern,n_samples,tp,fp,fn,precision,recall,f1,precision_percent,recall_percent,f1_percent
0,480,480,0,0,1.0,1.0,1.0,100.0,100.0,100.0
1,491,490,1,1,0.9979633401221996,0.9979633401221996,0.9979633401221996,99.79633401221996,99.79633401221996,99.79633401221996
2,481,481,0,0,1.0,1.0,1.0,100.0,100.0,100.0
3,469,469,1,0,0.997872340425532,1.0,0.9989350372736955,99.7872340425532,100.0,99.89350372736955
4,479,479,0,0,1.0,1.0,1.0,100.0,100.0,100.0
5,487,486,1,1,0.997946611909651,0.997946611909651,0.997946611909651,99.7946611909651,99.7946611909651,99.7946611909651
6,483,483,0,0,1.0,1.0,1.0,100.0,100.0,100.0
7,483,482,0,1,1.0,0.9979296066252588,0.9989637305699481,100.0,99.79296066252587,99.89637305699482
8,480,480,0,0,1.0,1.0,1.0,100.0,100.0,100.0
9,480,480,0,0,1.0,1.0,1.0,100.0,100.0,100.0
10,477,477,0,0,1.0,1.0,1.0,100.0,100.0,100.0
11,486,486,0,0,1.0,1.0,1.0,100.0,100.0,100.0
12,473,473,0,0,1.0,1.0,1.0,100.0,100.0,100.0
13,481,481,0,0,1.0,1.0,1.0,100.0,100.0,100.0
14,473,473,0,0,1.0,1.0,1.0,100.0,100.0,100.0
15,471,471,0,0,1.0,1.0,1.0,100.0,100.0,100.0
