frequency,n_samples,accuracy,accuracy_percent
1.0,15,1.0,100.0
2.0,23,1.0,100.0
3.0,31,0.967741935483871,96.7741935483871
4.0,42,1.0,100.0
5.0,53,1.0,100.0
6.0,67,1.0,100.0
8.0,89,1.0,100.0
9.0,95,1.0,100.0
10.0,107,1.0,100.0
11.0,121,1.0,100.0
12.0,128,1.0,100.0
14.0,152,1.0,100.0
17.0,184,1.0,100.0
18.0,193,0.9948186528497409,99.48186528497409
19.0,203,1.0,100.0
20.0,216,1.0,100.0
21.0,226,1.0,100.0
23.0,249,1.0,100.0
24.0,260,1.0,100.0
25.0,270,1.0,100.0
26.0,281,1.0,100.0
27.0,294,1.0,100.0
28.0,299,1.0,100.0
29.0,317,1.0,100.0
30.0,322,1.0,100.0
31.0,333,1.0,100.0
32.0,346,1.0,100.0
33.0,360,1.0,100.0
34.0,371,1.0,100.0
35.0,374,1.0,100.0
36.0,386,1.0,100.0
38.0,413,1.0,100.0
39.0,421,1.0,100.0
40.0,433,1.0,100.0
