true_pattern,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,486,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471
