pattern,n_samples,accuracy,accuracy_percent
0,460,0.9847826086956522,98.47826086956522
1,463,0.9956803455723542,99.56803455723542
2,467,0.8351177730192719,83.5117773019272
3,453,0.9757174392935982,97.57174392935983
4,465,0.946236559139785,94.6236559139785
5,464,0.9181034482758621,91.8103448275862
6,459,0.9891067538126361,98.91067538126362
7,452,0.9646017699115044,96.46017699115043
8,462,0.9956709956709957,99.56709956709958
9,455,0.967032967032967,96.7032967032967
10,449,0.8507795100222717,85.07795100222717
11,464,0.9612068965517241,96.12068965517241
12,451,0.9135254988913526,91.35254988913526
13,467,0.8950749464668094,89.50749464668094
14,457,0.9715536105032823,97.15536105032822
15,453,0.9624724061810155,96.24724061810154
