pattern,n_samples,tp,fp,fn,precision,recall,f1,precision_percent,recall_percent,f1_percent
0,460,453,70,7,0.8661567877629063,0.9847826086956522,0.9216683621566633,86.61567877629062,98.47826086956522,92.16683621566632
1,463,461,19,2,0.9604166666666667,0.9956803455723542,0.9777306468716862,96.04166666666667,99.56803455723542,97.77306468716861
2,467,390,7,77,0.982367758186398,0.8351177730192719,0.9027777777777778,98.2367758186398,83.5117773019272,90.27777777777779
3,453,442,17,11,0.9629629629629629,0.9757174392935982,0.9692982456140351,96.29629629629629,97.57174392935983,96.9298245614035
4,465,440,8,25,0.9821428571428571,0.946236559139785,0.963855421686747,98.21428571428571,94.6236559139785,96.3855421686747
5,464,426,4,38,0.9906976744186047,0.9181034482758621,0.953020134228188,99.06976744186046,91.8103448275862,95.3020134228188
6,459,454,39,5,0.920892494929006,0.9891067538126361,0.953781512605042,92.0892494929006,98.91067538126362,95.3781512605042
7,452,436,29,16,0.9376344086021505,0.9646017699115044,0.95092693565976,93.76344086021506,96.46017699115043,95.092693565976
8,462,460,64,2,0.8778625954198473,0.9956709956709957,0.9330628803245437,87.78625954198473,99.56709956709958,93.30628803245436
9,455,440,11,15,0.975609756097561,0.967032967032967,0.9713024282560705,97.5609756097561,96.7032967032967,97.13024282560706
10,449,382,6,67,0.9845360824742269,0.8507795100222717,0.9127837514934289,98.4536082474227,85.07795100222717,91.27837514934289
11,464,446,26,18,0.9449152542372882,0.9612068965517241,0.9529914529914529,94.49152542372882,96.12068965517241,95.2991452991453
12,451,412,4,39,0.9903846153846154,0.9135254988913526,0.95040369088812,99.03846153846155,91.35254988913526,95.040369088812
13,467,418,6,49,0.9858490566037735,0.8950749464668094,0.9382716049382716,98.58490566037736,89.50749464668094,93.82716049382715
14,457,444,39,13,0.9192546583850931,0.9715536105032823,0.9446808510638297,91.92546583850931,97.15536105032822,94.46808510638297
15,453,436,52,17,0.8934426229508197,0.9624724061810155,0.926673751328374,89.34426229508196,96.24724061810154,92.6673751328374
