variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,aux_temporal_kl_weight,aux_spatial_kl_weight,aux_early_temporal_kl_weight,aux_first_time_weight,early_time_window,val_temporal_kl_loss,val_spatial_kl_loss,val_early_temporal_kl_loss,val_first_time_loss,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,experiment_group,history_strategy,freq_strategy
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,1,0.07412720657369415,0.03736272740243661,0.07243098151503187,0.03637018292373011,True,0.0008,0.2180185765028,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.26254186157291853,0.16772867864965724,0.16342989828115628,0.025921619402121347,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,2,0.07165954203762635,0.03612559632141404,0.07077183163360046,0.03596273286709213,True,0.0008,0.23169565200805664,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24878937359209413,0.16008339812257877,0.1623389433262458,0.02426183591027118,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,3,0.07080810969236233,0.035888380466152385,,,False,0.0008,0.2353719174861908,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,4,0.07049376196264552,0.035776849331322386,0.07015825379409908,0.03570293477923514,True,0.0008,0.23800083994865417,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24803523897924007,0.15234787455779802,0.16203871946008386,0.02551332746917752,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,5,0.07020059632777811,0.03564554396145717,,,False,0.0008,0.24107833206653595,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,6,0.06991421429463375,0.03551034557236253,0.06960353633905234,0.03545451465111924,True,0.0008,0.24551059305667877,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24748922054280603,0.14636258517050182,0.16184458557671033,0.024587619984909208,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,7,0.06969590635278276,0.03540956901140397,,,False,0.0008,0.2493208795785904,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,8,0.06954051380272533,0.035339952193638204,0.06938562523636352,0.03533410975577855,True,0.0008,0.25224584341049194,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24766863558763338,0.14411745003845822,0.16174906321647592,0.02404507394173464,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,9,0.06938557391460139,0.03526955400285228,,,False,0.0008,0.2560557425022125,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,10,0.06928337886901638,0.03521628033828298,0.06919175354820309,0.03523834904636999,True,0.0008,0.2591128647327423,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24750467781667357,0.1417359687898028,0.16186025592213127,0.023948787556653875,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
