variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,group,value,n_trials,global_bce,pattern_bce,model_bce,improvement_vs_pattern
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,0.0,567,0.014626441523432732,0.009955467656254768,0.009961440227925777,-0.0005999287906135327
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,1.0,597,0.05753147974610329,0.05566583201289177,0.05206984281539917,0.06459957693006002
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,2.0,583,0.013991538435220718,0.009167063981294632,0.009228040464222431,-0.006651691648735251
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,3.0,508,0.052174150943756104,0.05108228698372841,0.0473485067486763,0.07309344306063383
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,4.0,535,0.0395955853164196,0.038818396627902985,0.03622771054506302,0.06673861642646413
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,5.0,580,0.05868976563215256,0.05705185607075691,0.05376366898417473,0.05763505892786564
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,6.0,545,0.033085908740758896,0.03240133449435234,0.03008437156677246,0.07150825617950193
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,7.0,591,0.05103054270148277,0.05018871650099754,0.04699955880641937,0.06354332042969825
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,8.0,558,0.014132849872112274,0.009258726611733437,0.009230159223079681,0.0030854554683094533
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,9.0,546,0.0527445487678051,0.05162373557686806,0.04805812984704971,0.06906911501026762
