variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,electrode,model_bce,global_bce,pattern_bce,improvement_vs_pattern
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,0,0.06517099589109421,0.07099398970603943,0.06823549419641495,0.04491061933983541
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,1,0.013505378738045692,0.015198938548564911,0.014899095520377159,0.09354371749783814
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,2,0.060297150164842606,0.06652240455150604,0.06413880735635757,0.05989598731031246
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,3,0.00012904485629405826,0.00013933905574958771,0.00014910510799381882,0.1345376558165409
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,4,0.0001134489502874203,0.00013136201596353203,0.00013906652748119086,0.184210950382977
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,5,0.0007951557054184377,0.0009544711792841554,0.001031898078508675,0.22942418250490723
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,6,0.01651068776845932,0.01823345012962818,0.017847804352641106,0.07491770739765645
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,7,0.02637256123125553,0.03061961568892002,0.029375405982136726,0.10222308936622813
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,8,0.06823742389678955,0.07385168224573135,0.06996460258960724,0.02468646471057421
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,9,0.05527908354997635,0.06011455878615379,0.05745131894946098,0.03781001792831798
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,10,0.04246972128748894,0.048827726393938065,0.04636455699801445,0.08400459235903641
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,11,0.03059149906039238,0.0333629846572876,0.03230597823858261,0.053070028263148245
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,12,0.06388522684574127,0.06917359679937363,0.06652001291513443,0.039608922998174874
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,13,0.05551249161362648,0.06155398488044739,0.05946006998419762,0.06639040908664022
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,14,0.00019523303490132093,0.0002079427649732679,0.0002338109479751438,0.16499617921195048
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,15,0.06004193425178528,0.06476563215255737,0.06257697194814682,0.040510712126853164
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,16,0.03781046345829964,0.04139574617147446,0.03985077142715454,0.051198706970691836
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,17,0.0004679278936237097,0.0005456355283968151,0.000550249416846782,0.14960765191686679
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,18,0.02861640974879265,0.03423747420310974,0.03172072023153305,0.09786380826417862
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,19,0.05076354742050171,0.05487174168229103,0.052977852523326874,0.041796807483847634
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,20,0.0001347702054772526,0.00014999172708485276,0.00015665357932448387,0.13969277907083893
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,21,0.016536882147192955,0.021932723000645638,0.01950833573937416,0.15231712391456576
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,22,0.05813024938106537,0.06461430341005325,0.060455597937107086,0.03846374257121424
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,23,0.055201511830091476,0.06266903132200241,0.05994238704442978,0.07909053089301112
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,24,2.9523123885155655e-05,2.9249924409668893e-05,3.016225491592195e-05,0.021189762918849647
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,25,0.031741153448820114,0.035397328436374664,0.033802133053541183,0.06097188013124979
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,26,0.003850177163258195,0.005549833178520203,0.0049850656650960445,0.22765768358559513
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,27,0.02820717729628086,0.03482741490006447,0.03171500191092491,0.11060458468506998
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,28,0.05678064748644829,0.06313769519329071,0.059549253433942795,0.046492706253079816
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,29,0.007354467175900936,0.007550753653049469,0.008091670460999012,0.09110643947394015
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,30,0.058072105050086975,0.06409193575382233,0.06189170479774475,0.06171424361535695
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,31,0.04507817327976227,0.04830233380198479,0.04688204079866409,0.03847672772285174
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,32,0.017278872430324554,0.022219959646463394,0.020668083801865578,0.1639828541451482
