variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,time_bin,model_bce,global_bce,pattern_bce,improvement_vs_pattern
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,0,1.0013627615990117e-05,1.0013611245085485e-05,1.0013611245085485e-05,-1.6348652080883684e-06
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,1,1.0013619430537801e-05,1.0013611245085485e-05,1.0013611245085485e-05,-8.174326040441842e-07
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,2,1.0013642167905346e-05,1.0013611245085485e-05,1.0013611245085485e-05,-3.0880787263891403e-06
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,3,1.0013611245085485e-05,1.0013611245085485e-05,1.0013611245085485e-05,0.0
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,4,1.0013614883064292e-05,1.0013611245085485e-05,1.0013611245085485e-05,-3.63303379575193e-07
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,5,1.0013616702053696e-05,1.0013611245085485e-05,1.0013611245085485e-05,-5.449550693627894e-07
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,6,0.09210579097270966,0.10912011563777924,0.09992006421089172,0.07820524636262471
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,7,0.10303010791540146,0.12219171226024628,0.11217785626649857,0.08154682800645606
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,8,0.09958381205797195,0.11749143153429031,0.10843119770288467,0.08159446572891028
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,9,0.096854567527771,0.11330357939004898,0.10489238053560257,0.07662914090412296
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,10,0.09506982564926147,0.11213144659996033,0.10383696109056473,0.08443174134937093
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,11,0.09499813616275787,0.11122334748506546,0.10302520543336868,0.07791364488763187
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,12,0.09290614724159241,0.10836779326200485,0.10040289908647537,0.07466668704880858
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,13,0.08956059068441391,0.1036982536315918,0.0963306799530983,0.07027967903870941
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,14,0.08661103248596191,0.09998402744531631,0.09287802875041962,0.06747555206299949
