variant,base_variant,split_id,deploy_context_mode,group,value,n_trials,global_bce,pattern_bce,model_bce,improvement_vs_pattern
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,0.0,594,0.0140403751283884,0.0091269705444574,0.0092117870226502,-0.0092929497010717
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,1.0,517,0.057845301926136,0.0559158809483051,0.0528323985636234,0.0551450202051259
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,2.0,538,0.0142346443608403,0.0094489771872758,0.0095865968614816,-0.0145645048641984
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,3.0,581,0.0517566725611686,0.0505737029016017,0.0477935411036014,0.0549724785509482
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,4.0,534,0.037141129374504,0.0364907793700695,0.0345812290906906,0.0523296655303872
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,5.0,562,0.0561448708176612,0.0547076575458049,0.0521267652511596,0.0471760702326618
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,6.0,551,0.0326288565993309,0.0319270454347133,0.0300237741321325,0.059613136031418
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,7.0,581,0.0512259751558303,0.0503630191087722,0.0476853027939796,0.0531683040885494
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,8.0,562,0.0142599865794181,0.009537000209093,0.0096323806792497,-0.0100010976266655
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,9.0,533,0.0534560643136501,0.0522320121526718,0.0493450053036212,0.0552727480728088
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,10.0,536,0.0144852139055728,0.0096229454502463,0.009650963358581,-0.0029115730188426
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,11.0,552,0.0467627309262752,0.0460970848798751,0.0432601235806942,0.0615431823199633
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,12.0,583,0.0331938490271568,0.0324815437197685,0.0306458938866853,0.0565136265973086
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,13.0,531,0.052152469754219,0.0511747412383556,0.048490971326828,0.0524432531867135
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,14.0,605,0.030324064195156,0.0294280834496021,0.0277328174561262,0.0576070812215545
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,pattern,15.0,550,0.0488570220768451,0.0480243749916553,0.0453946739435195,0.0547576319023972
