variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_pattern_mode
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,1,0.0376417856790289,0.0376339455451182,0.0363711174949585,0.0363645896842383,True,0.0008,0.2153205126523971,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,2,0.0364612671997143,0.036454856119774,0.0358205777276244,0.0358144178543361,True,0.0008,0.2218222916126251,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,3,0.0360921771173235,0.0360860497392142,,,False,0.0008,0.2240525335073471,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,4,0.0359214153540767,0.0359153957766426,0.0355090758741303,0.035503094686837,True,0.0008,0.2269988805055618,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,5,0.0358025700037862,0.0357965640241494,,,False,0.0008,0.2297805994749069,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,6,0.0356345788566998,0.0356286331743637,0.0351744151861311,0.0351685303003097,True,0.0008,0.2339107394218444,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,7,0.0354971753401989,0.0354912673528391,,,False,0.0008,0.2373725175857544,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,8,0.0353995149470851,0.0353936357995766,0.0350079526470432,0.0350021050141248,True,0.0008,0.2406574934720993,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,9,0.0353361538901585,0.0353302915378139,,,False,0.0008,0.2437542676925659,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,10,0.0352566827229355,0.0352508596267608,0.0349063179007283,0.0349004812714226,True,0.0008,0.2461686134338379,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
