variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,electrode,model_bce,global_bce,pattern_bce,improvement_vs_pattern
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,80,0.0829001739621162,0.090373046696186,0.0857831835746765,0.0336080976762833
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,56,0.0813698917627334,0.0873540118336677,0.0841890722513198,0.0334862995065517
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,84,0.0787178128957748,0.0891251638531684,0.083078533411026,0.0524891369191215
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,48,0.0785140544176101,0.0858391746878624,0.0811590552330017,0.0325903352102601
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,55,0.0783831402659416,0.0851630121469497,0.0814590528607368,0.0377602302847031
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,134,0.0780444741249084,0.0877954587340354,0.0823113918304443,0.0518387262157519
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,53,0.0774935036897659,0.0844029486179351,0.0798726826906204,0.0297871427465385
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,57,0.0754063576459884,0.0817431658506393,0.0773299038410186,0.0248745452856737
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,102,0.0749756768345832,0.0850995704531669,0.0793290138244628,0.0548769835902984
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,33,0.0745818093419075,0.0847386866807937,0.0786641389131546,0.0518956875095779
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,87,0.0734497979283332,0.0809845328330993,0.0766673013567924,0.0419670885960316
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,99,0.0715056955814361,0.0818584412336349,0.0756188705563545,0.0543934991974396
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,50,0.0703736469149589,0.0770711600780487,0.0728630945086479,0.0341660975350628
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,94,0.0683919787406921,0.0752684921026229,0.0713569223880767,0.0415508902031916
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,8,0.0682374238967895,0.0738516822457313,0.0699646025896072,0.0246864647105742
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,63,0.0679376795887947,0.0737869814038276,0.070907175540924,0.0418786382263318
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,0,0.0651709958910942,0.0709939897060394,0.0682354941964149,0.0449106193398354
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,43,0.0648769438266754,0.0703489705920219,0.0669075325131416,0.0303491790863364
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,64,0.0642002448439598,0.071201741695404,0.0668407753109932,0.0395047851367322
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,12,0.0638852268457412,0.0691735967993736,0.0665200129151344,0.0396089229981748
