value,variant,model_bce,delta_bce_vs_baseline,n_trials,improvement_vs_pattern
0.0,hist_H8_D32,0.0095914602279663,-0.0005592871457338004,567,0.036563568971043
1.0,hist_H24_D64_layers2,0.0520698428153991,-0.0006580576300620963,597,0.06459957693006
2.0,hist_H8_D32,0.0088091474026441,-0.0005233725532889002,583,0.0390437526541542
3.0,hist_H40_D64,0.0473081469535827,-0.000936809927225099,508,0.0738835367991227
4.0,hist_H24_D64_layers2,0.036227710545063,-0.0007048696279524994,535,0.0667386164264641
5.0,hist_H24_D64_layers2,0.0537636689841747,-0.0006206184625624986,580,0.0576350589278656
6.0,hist_H24_D64_layers2,0.0300843715667724,-0.0005865283310413014,545,0.0715082561795019
7.0,hist_H40_D64,0.046897143125534,-0.0004794895648955952,591,0.0655839321054975
8.0,hist_H8_D32,0.0088398121297359,-0.0004224730655551009,558,0.0452453668376606
9.0,hist_H40_D64,0.0480027683079242,-0.000688422471284901,546,0.0701415197579443
10.0,hist_H8_D32,0.0093114739283919,-0.00048528891056769975,532,0.037656834898895
11.0,hist_H24_D64_layers2,0.0426787547767162,-0.0006473734974861006,552,0.0798146278625747
12.0,hist_H40_D96,0.0301542561501264,-0.000600269064307199,552,0.0780328435369128
13.0,hist_H40_D64,0.0466078855097293,-0.00048336386680609966,551,0.0633010304489836
14.0,hist_H24_D64_layers2,0.0259795673191547,-0.0006387829780578995,557,0.0812535846142871
15.0,hist_H40_D64,0.0444580875337123,-0.000605128705501605,556,0.0676997168834003
