variant,experiment_group,question,history_strategy,freq_strategy,best_val_bce,best_epoch,epochs_run,final_train_bce,final_val_bce,final_val_train_gap,improvement_vs_global_percent,improvement_vs_pattern_percent,total_count_corr_model,total_count_mae_model,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,freq_rbf_dim,use_frequency_features,use_rbf_features,use_frequency_film,deploy_context_mode,n_params,elapsed_min,delta_bce_vs_baseline,delta_count_corr_vs_baseline,delta_count_mae_vs_baseline
hist_H24_D64_layers2,history,history_layers,H24_D64_embedding_layers2,direct_rbf16_plus_context,0.0339720238372265,110,158,0.0320700739600597,0.0341507797498427,0.0020807057897829,11.140075252633425,6.342289850764877,0.8969224079225482,28.2497615814209,24,64,2,embedding,16,True,True,False,z_window_summary,322770,11.844912254810334,-0.0004716533251883995,0.013079126286067555,-1.2552146911621094
hist_H40_D64,history,history_len_hidden_grid,H40_D64_embedding,direct_rbf16_plus_context,0.0340311382179107,116,160,0.0320100629542634,0.0342471403455493,0.0022370773912858,10.989614809181935,6.183705644872645,0.8932807244917382,28.639080047607425,40,64,1,embedding,16,True,True,False,z_window_summary,297810,12.25176556110382,-0.00041253894450420103,0.009437442855257605,-0.8658962249755824
hist_H40_D96,history,history_len_hidden_grid,H40_D96_embedding,direct_rbf16_plus_context,0.0340383215818876,82,130,0.0320255491640063,0.0342296368495783,0.002204087685572,10.967466205596338,6.160361178841102,0.8945618992601504,28.698530197143555,40,96,1,embedding,16,True,True,False,z_window_summary,335570,9.993052426973978,-0.0004053555805273029,0.010718617623669768,-0.8064460754394531
hist_H24_D96,history,history_len_hidden_grid,H24_D96_embedding,direct_rbf16_plus_context,0.0342966646758795,94,142,0.0319367285735634,0.0346221874592413,0.0026854588856779,10.300036112065502,5.456894746447569,0.8884752399649689,29.310546875,24,96,1,embedding,16,True,True,False,z_window_summary,335570,11.18338250319163,-0.00014701248653539722,0.004631958328488284,-0.1944293975830078
C4_linear_H24_D64_freq_rbf16,baseline,current_reference,H24_D64_embedding,direct_rbf16_plus_context,0.0344436771624149,92,140,0.0324163888969583,0.0346287261439627,0.0022123372470043,9.907519592208446,5.04318520809183,0.8838432816364806,29.504976272583008,24,64,1,embedding,16,True,True,False,z_window_summary,297810,10.296785700321198,0.0,0.0,0.0
hist_H40_D32,history,history_len_hidden_grid,H40_D32_embedding,direct_rbf16_plus_context,0.0345867693123191,102,150,0.0327911150383561,0.0347655788925293,0.0019744638541732,9.53151951893194,4.646883883516764,0.8714544610191516,30.80601501464844,40,32,1,embedding,16,True,True,False,z_window_summary,272338,11.178584388891856,0.0001430921499041976,-0.012388820617329044,1.3010387420654332
hist_H24_D64_bits,history,history_pattern_encoding,H24_D64_bits,direct_rbf16_plus_context,0.0346936824086606,110,158,0.0324136806173222,0.0349569034220193,0.002543222804697,9.256761852718508,4.357291314800793,0.8690375843047831,31.034950256347656,24,64,1,bits,16,True,True,False,z_window_summary,296786,11.469542344411217,0.000250005246245702,-0.014805697331697565,1.5299739837646484
hist_H16_D96,history,history_len_hidden_grid,H16_D96_embedding,direct_rbf16_plus_context,0.034744135747788,48,96,0.0328844725338653,0.0349497999674008,0.0020653274335354,9.117078512463534,4.210066096779603,0.8672962898053178,31.249122619628903,16,96,1,embedding,16,True,True,False,z_window_summary,335570,7.403372128804524,0.00030045858537310066,-0.016546991831162816,1.7441463470458949
hist_H16_D64,history,history_len_hidden_grid,H16_D64_embedding,direct_rbf16_plus_context,0.0347841050321138,68,116,0.0330023956465232,0.0350086500958093,0.002006254449286,9.012620514030797,4.099968131157898,0.8593078629568582,31.84071922302246,16,64,1,embedding,16,True,True,False,z_window_summary,297810,8.619891520341238,0.0003404278696989005,-0.02453541867962239,2.335742950439453
hist_H24_D32,history,history_len_hidden_grid,H24_D32_embedding,direct_rbf16_plus_context,0.0348689901072837,44,92,0.0338839644467924,0.0349976526307805,0.0011136881839881,8.790140568115094,3.86547589691585,0.8325915798237288,34.634788513183594,24,32,1,embedding,16,True,True,False,z_window_summary,272338,6.942754447460175,0.0004253129448687984,-0.05125170181275185,5.129812240600586
hist_H16_D32,history,history_len_hidden_grid,H16_D32_embedding,direct_rbf16_plus_context,0.0349245206725717,44,92,0.0339654665238238,0.0350589781573123,0.0010935116334885,8.644873791936428,3.71236577830686,0.8220075993079758,35.84701156616211,16,32,1,embedding,16,True,True,False,z_window_summary,272338,6.927681187788646,0.0004808435101568004,-0.06183568232850478,6.342035293579102
hist_H8_D32,history,history_len_hidden_grid,H8_D32_embedding,direct_rbf16_plus_context,0.0349772760629921,34,82,0.0341058395574412,0.0351207358977944,0.0010148963403532,8.506418222931687,3.566434622195031,0.8193062821865384,35.85447692871094,8,32,1,embedding,16,True,True,False,z_window_summary,272338,6.164971435070038,0.0005335989005771993,-0.06453699944994218,6.34950065612793
hist_H8_D96,history,history_len_hidden_grid,H8_D96_embedding,direct_rbf16_plus_context,0.0350105120092797,28,76,0.0336805607715194,0.0352705325065839,0.0015899717350644,8.420386537468753,3.475757855546334,0.8193444221886944,36.138919830322266,8,96,1,embedding,16,True,True,False,z_window_summary,335570,6.023426187038422,0.0005668348468648027,-0.06449885944778622,6.633943557739258
hist_H8_D64,history,history_len_hidden_grid,H8_D64_embedding,direct_rbf16_plus_context,0.0350106020726673,30,78,0.033855501720957,0.0352951296142121,0.0014396278932551,8.420016257250428,3.4753675829070034,0.8188249704753183,36.0735969543457,8,64,1,embedding,16,True,True,False,z_window_summary,297810,5.960870536168416,0.0005669249102523977,-0.0650183111611623,6.568620681762695
