variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,electrode,model_bce,global_bce,pattern_bce,improvement_vs_pattern
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,0,0.0658504068851471,0.0709939897060394,0.0682354941964149,0.034953763277546
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,1,0.0138631565496325,0.0151989385485649,0.0148990955203771,0.0695303261414613
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,2,0.0611115731298923,0.066522404551506,0.0641388073563575,0.0471981683358376
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,3,0.0001282270823139,0.0001393390557495,0.0001491051079938,0.1400222028658776
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,4,0.000117115683679,0.0001313620159635,0.0001390665274811,0.157844192989981
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,5,0.0008249217062257,0.0009544711792841,0.0010318980785086,0.2005783096156933
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,6,0.0167924351990222,0.0182334501296281,0.0178478043526411,0.0591315958403947
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,7,0.026833776384592,0.03061961568892,0.0293754059821367,0.0865223649705553
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,8,0.0687882974743843,0.0738516822457313,0.0699646025896072,0.0168128606707424
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,9,0.0560110285878181,0.0601145587861537,0.0574513189494609,0.0250697527572837
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,10,0.0430301316082477,0.048827726393938,0.0463645569980144,0.0719175509411098
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,11,0.0310679525136947,0.0333629846572876,0.0323059782385826,0.0383218770143691
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,12,0.0644371658563613,0.0691735967993736,0.0665200129151344,0.031311585303363
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,13,0.0563003458082675,0.0615539848804473,0.0594600699841976,0.053140270046264
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,14,0.0001977936626644,0.0002079427649732,0.0002338109479751,0.154044477483117
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,15,0.0606963858008384,0.0647656321525573,0.0625769719481468,0.030052367328778
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,16,0.0384316407144069,0.0413957461714744,0.0398507714271545,0.0356111227443032
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,17,0.0004816064611077,0.0005456355283968,0.0005502494168467,0.1247488023384218
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,18,0.0293527785688638,0.0342374742031097,0.031720720231533,0.0746496815137018
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,19,0.0513496659696102,0.054871741682291,0.0529778525233268,0.0307333437685067
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,20,0.0001365705247735,0.0001499917270848,0.0001566535793244,0.1282004192787988
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,21,0.0167797189205884,0.0219327230006456,0.0195083357393741,0.1398692771766497
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,22,0.058603823184967,0.0646143034100532,0.060455597937107,0.0306303273034612
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,23,0.0560299828648567,0.0626690313220024,0.0599423870444297,0.0652694090522813
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,24,3.1357976695289835e-05,2.9249924409668893e-05,3.016225491592195e-05,-0.0396429836794693
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,25,0.0321620292961597,0.0353973284363746,0.0338021330535411,0.0485207177542193
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,26,0.0039183227345347,0.0055498331785202,0.004985065665096,0.2139877390242464
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,27,0.0287578366696834,0.0348274149000644,0.0317150019109249,0.0932418433884059
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,28,0.0577537529170513,0.0631376951932907,0.0595492534339427,0.0301515201846015
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,29,0.0074065355584025,0.0075507536530494,0.008091670460999,0.0846716269401665
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,30,0.0588923320174217,0.0640919357538223,0.0618917047977447,0.0484616280990263
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,31,0.0456053875386714,0.0483023338019847,0.046882040798664,0.0272311793224875
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,32,0.0174389611929655,0.0222199596464633,0.0206680838018655,0.1562371548255769
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,33,0.0757904201745987,0.0847386866807937,0.0786641389131546,0.0365314967946004
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,34,0.0086719077080488,0.0098629631102085,0.0095661021769046,0.0934753207021664
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,35,0.0022994407918304,0.0035695577971637,0.0031899872701615,0.2791692890630252
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,36,0.0051075494848191,0.0059573799371719,0.0058108372613787,0.1210303687618191
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,37,0.0557380653917789,0.0598083771765232,0.0575999245047569,0.0323239853000886
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,38,0.0465791597962379,0.051148485392332,0.0484633706510067,0.0388790715432752
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,39,0.0516694672405719,0.055741149932146,0.0534017533063888,0.0324387488904719
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,40,0.0025236431974917,0.0029599622357636,0.0028581854421645,0.1170470746010875
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,41,1.6846439393702894e-05,1.0699103768274654e-05,1.0906794159382116e-05,-0.5445821336246128
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,42,0.0052962340414524,0.0066154738888144,0.0060435766354203,0.1236589918605273
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,43,0.065333642065525,0.0703489705920219,0.0669075325131416,0.0235233670783994
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,44,0.0618491731584072,0.0688392370939254,0.0655553638935089,0.0565352781981685
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,45,0.0647406876087188,0.0731087550520896,0.0676718801259994,0.0433147787799443
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,46,0.004072627518326,0.0047317505814135,0.004596403799951,0.1139534959114356
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,47,1.57549529831158e-05,1.0356359780416824e-05,1.0454952644067816e-05,-0.5069368097095328
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,48,0.0797296315431594,0.0858391746878624,0.0811590552330017,0.017612621114655
