variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,time_bin,model_bce,global_bce,pattern_bce,improvement_vs_pattern
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,0,1.0013704013545066e-05,1.0013611245085484e-05,1.0013611245085484e-05,-9.26423617916742e-06
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,1,1.0013611245085484e-05,1.0013611245085484e-05,1.0013611245085484e-05,0.0
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,2,1.0014998224505687e-05,1.0013611245085484e-05,1.0013611245085484e-05,-0.000138509413463
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,3,1.0013794053520542e-05,1.0013611245085484e-05,1.0013611245085484e-05,-1.825599482365345e-05
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,4,1.001366490527289e-05,1.0013611245085484e-05,1.0013611245085484e-05,-5.358724848734097e-06
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,5,1.001363398245303e-05,1.0013611245085484e-05,1.0013611245085484e-05,-2.270646122344956e-06
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,6,0.0944470986723899,0.1091201156377792,0.0999200642108917,0.0547734389656763
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,7,0.105300486087799,0.1221917122602462,0.1121778562664985,0.0613077340536894
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,8,0.1020005866885185,0.1174914315342903,0.1084311977028846,0.0593059114959409
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,9,0.0990590900182724,0.1133035793900489,0.1048923805356025,0.0556121473032088
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,10,0.0972204133868217,0.1121314465999603,0.1038369610905647,0.0637205445368547
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,11,0.09675133228302,0.1112233474850654,0.1030252054333686,0.0608964876503573
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,12,0.0947270318865776,0.1083677932620048,0.1004028990864753,0.056530909481102
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,13,0.0912208184599876,0.1036982536315918,0.0963306799530983,0.0530450059690075
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,14,0.0880430787801742,0.0999840274453163,0.0928780287504196,0.0520569830701054
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,15,0.0833044201135635,0.0949986949563026,0.0883282124996185,0.0568764185743789
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,16,0.0800668224692344,0.091051697731018,0.0848818123340606,0.056725813603936
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,17,0.0757694318890571,0.0856730490922927,0.0800036862492561,0.0529257407840797
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,18,0.0763165801763534,0.0868162512779235,0.08087670058012,0.0563836107439765
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,19,0.0727610513567924,0.0824545249342918,0.0769932121038436,0.0549679722589461
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,20,0.0714898854494094,0.0813263356685638,0.0760366469621658,0.0597969754639327
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,21,0.0692719966173172,0.0787067264318466,0.0736003443598747,0.0588087974343397
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,22,0.0656394064426422,0.0745256692171096,0.0696758851408958,0.0579322198791048
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,23,0.0627905651926994,0.0713031664490699,0.0667715817689895,0.059621420832343
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,24,0.0588678456842899,0.0665147379040718,0.0627283155918121,0.0615426999928259
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,25,0.0543584115803241,0.0611134842038154,0.0577767603099346,0.0591647699052912
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,26,0.0517378523945808,0.0581019222736358,0.0549429021775722,0.0583341916055485
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,27,0.0483408644795417,0.0542903877794742,0.0512157827615737,0.05613344416536
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,28,0.0464507862925529,0.0523588471114635,0.0493567176163196,0.0588761057077643
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,29,0.04558115452528,0.050948828458786,0.0483560040593147,0.0573837641884351
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,30,0.0425789207220077,0.0476713329553604,0.0451509319245815,0.0569647423196041
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,baseline,H24_D64_embedding,direct_rbf16_plus_context,z_window_summary,31,0.0405838154256343,0.0450272373855114,0.0427863337099552,0.0514771445305762
