pattern,bits,n_trials,mean_early_spikes_per_trial,mean_total_spikes_per_trial,contrast_positive_sum,centroid_x,centroid_y,spread,top_electrodes,top_coords
0,0000,2308,2.099653482437134,16.772096633911133,0.0,,,,"14439,11768,15529,14660,15530,15970,11769,14659,15750,11574","139,65;108,53;129,70;140,66;130,70;130,72;109,53;139,66;130,71;134,52"
1,0001,2181,67.60568237304688,170.03713989257812,27.037872314453125,121.806337518059,58.60960993433749,17.051251710886778,"15291,17073,12212,15290,16857,15286,14634,13094,10904,12653","111,69;133,77;112,55;110,69;137,76;106,69;114,66;114,59;124,49;113,57"
2,0010,2200,2.0799999237060547,16.573637008666992,0.0,,,,"14439,11768,15529,14660,15530,15970,11769,15750,14659,11574","139,65;108,53;129,70;140,66;130,70;130,72;109,53;130,71;139,66;134,52"
3,0011,2198,61.12602233886719,147.50091552734375,20.898283004760742,120.3139233313844,58.04411070082225,16.53844907664683,"12212,14634,15291,11771,12653,13094,15290,10904,15286,15067","112,55;114,66;111,69;111,53;113,57;114,59;110,69;124,49;106,69;107,68"
4,0100,2233,41.78011703491211,99.25704956054688,6.263582229614258,126.78334913371309,54.58584799820029,16.61085548782019,"9569,13554,13775,12012,14436,9131,14877,14216,11573,15097","109,43;134,61;135,62;132,54;136,65;111,41;137,67;136,64;133,52;137,68"
5,0101,2239,71.23492431640625,166.7217559814453,30.8812255859375,122.69427451567965,57.0103768931818,16.456472298807356,"12212,15291,11771,13094,12653,14634,15290,10904,11122,15286","112,55;111,69;111,53;114,59;113,57;114,66;110,69;124,49;122,50;106,69"
6,0110,2225,34.41393280029297,81.9155044555664,2.7347261905670166,126.44355752134966,55.0857044200443,16.032660605549047,"9569,13554,14436,13775,12012,14877,9131,14216,15097,11573","109,43;134,61;136,65;135,62;132,54;137,67;111,41;136,64;137,68;133,52"
7,0111,2310,63.28311538696289,145.63116455078125,23.285940170288086,121.21339814739343,56.706509933712816,15.945947483871272,"12212,11771,12653,14634,15291,13094,10904,15290,10468,11122","112,55;111,53;113,57;114,66;111,69;114,59;124,49;110,69;128,47;122,50"
8,1000,2221,2.3556957244873047,16.93921661376953,0.0,,,,"14439,11768,15529,14660,15530,15970,11769,15750,14659,11574","139,65;108,53;129,70;140,66;130,70;130,72;109,53;130,71;139,66;134,52"
9,1001,2095,62.42863845825195,152.32362365722656,22.09960174560547,122.3716094184796,57.1825290587547,16.866091480659126,"12212,15291,14634,15290,11771,13094,12653,15067,15286,17073","112,55;111,69;114,66;110,69;111,53;114,59;113,57;107,68;106,69;133,77"
10,1010,2223,2.3927125930786133,17.103914260864258,0.0,,,,"14439,11768,15529,14660,15530,15970,11769,15750,14659,11574","139,65;108,53;129,70;140,66;130,70;130,72;109,53;130,71;139,66;134,52"
11,1011,2214,55.13640594482422,132.73486328125,15.539265632629395,120.25071875568852,56.667213357217726,16.184815704548278,"12212,14634,15291,11771,13094,12653,15290,15286,15067,17073","112,55;114,66;111,69;111,53;114,59;113,57;110,69;106,69;107,68;133,77"
12,1100,2296,35.013065338134766,84.07317352294922,3.250281810760498,128.09821313698146,54.41811533999931,15.94627354605277,"9569,14436,9131,14877,15097,13775,13554,12012,14216,11573","109,43;136,65;111,41;137,67;137,68;135,62;134,61;132,54;136,64;133,52"
13,1101,2177,64.51952362060547,150.1653594970703,24.48529815673828,122.96741176041219,55.909325580680644,16.133258313351647,"12212,11771,14634,12653,15291,13094,10904,15290,11120,15286","112,55;111,53;114,66;113,57;111,69;114,59;124,49;110,69;120,50;106,69"
14,1110,2275,28.740219116210938,70.44483184814453,1.5022376775741577,127.02634371112808,55.49184739553365,16.040096025811387,"9569,14436,14877,15097,13775,14216,9131,13554,12012,15538","109,43;136,65;137,67;137,68;135,62;136,64;111,41;134,61;132,54;138,70"
15,1111,2245,59.11982345581055,138.23696899414062,19.52924346923828,121.53343510780601,55.49602995517811,15.604895324835825,"12212,11771,14634,13094,12653,15291,10904,10468,10033,10034","112,55;111,53;114,66;114,59;113,57;111,69;124,49;128,47;133,45;134,45"
