variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,group,value,n_trials,global_bce,pattern_bce,model_bce,improvement_vs_pattern
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,37.5,219,0.0518268197774887,0.0491788797080516,0.0459530688822269,0.065593418251384
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,34.0,182,0.0459790304303169,0.0436751618981361,0.0413081012666225,0.0541969515083723
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,28.5,157,0.0457924008369445,0.0433903895318508,0.04055792465806,0.0652786228552192
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,36.5,185,0.0453873202204704,0.0429736413061618,0.0402682870626449,0.0629538051998634
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,36.0,218,0.044642437249422,0.0427301600575447,0.0398742258548736,0.0668364967232737
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,38.0,204,0.0437568612396717,0.0418498888611793,0.0397176444530487,0.050949822476316
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,40.0,214,0.0443071164190769,0.0422303304076194,0.0396136157214641,0.061962922404301
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,37.0,184,0.0427911318838596,0.0410300940275192,0.0386736281216144,0.0574326226092552
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,26.5,145,0.0433021709322929,0.0409840308129787,0.0386249274015426,0.0575615273715098
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,29.5,162,0.0432507842779159,0.0409176759421825,0.0383935868740081,0.061687009588251
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,39.0,235,0.0427737273275852,0.040754310786724,0.0383380129933357,0.0592893793746964
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,1.0,4,0.0383426845073699,0.0387134701013565,0.0382187850773334,0.0127781111516976
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,31.5,176,0.0426152907311916,0.0407318025827407,0.0381133705377578,0.0642847082366154
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,31.0,169,0.0427905768156051,0.0405578836798667,0.0379827506840229,0.063492785180066
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,39.5,227,0.0418065413832664,0.0400535650551319,0.0374073386192321,0.0660671885825225
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,38.5,213,0.0418276563286781,0.0395279489457607,0.0374019518494606,0.0537846549846885
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,21.0,96,0.0411724932491779,0.0393062606453895,0.0373269878327846,0.0503551541181026
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,33.5,181,0.0417549386620521,0.0393625535070896,0.0372697375714778,0.0531676872851957
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,35.5,212,0.041404616087675,0.0392336882650852,0.0371937155723571,0.0519954351205734
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,35.0,206,0.0406070202589035,0.0384742580354213,0.0367038026452064,0.0460166220381676
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,32.0,183,0.041142538189888,0.0385649353265762,0.0366199277341365,0.0504346131004474
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,34.5,178,0.0401671752333641,0.0380055122077465,0.036222718656063,0.0469088152775914
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,30.5,174,0.0399056896567344,0.0377626046538353,0.0362000502645969,0.0413783530972527
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,2.5,8,0.042045421898365,0.040124773979187,0.0359472148120403,0.1041142105700984
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,25.0,118,0.0398055799305439,0.0377068445086479,0.0353883542120456,0.0614872532245574
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,26.0,164,0.0386219918727874,0.0367239713668823,0.0352261401712894,0.0407861987645384
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,28.0,165,0.0398541204631328,0.0373064652085304,0.0351320169866085,0.0582860962508105
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,30.0,162,0.0393449291586875,0.0372555367648601,0.0349928922951221,0.0607331061693938
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,33.0,196,0.0386041291058063,0.0370168685913085,0.0347435399889946,0.0614133147623341
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,24.5,127,0.0379231870174407,0.0358244515955448,0.0341346934437751,0.0471677325544818
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,32.5,162,0.0385820120573043,0.0361402034759521,0.033875972032547,0.0626513197390208
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,24.0,128,0.0362971574068069,0.0342984236776828,0.032979816198349,0.0384451335643119
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,22.5,128,0.0365278609097003,0.0349740497767925,0.0327450707554817,0.0637323682998207
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,23.5,135,0.0366660691797733,0.0347299017012119,0.0327112600207328,0.058124025165571
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,27.5,154,0.0357779040932655,0.0339468419551849,0.0326035693287849,0.0395698848267924
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,29.0,148,0.0365057066082954,0.0346956178545951,0.0324440337717533,0.0648953447746043
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,3.5,21,0.037764336913824,0.0369121730327606,0.0322541557252407,0.1261919016088754
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,20.0,108,0.0354183875024318,0.033267717808485,0.0316235162317752,0.04942333544414
