variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,group,value,n_trials,global_bce,pattern_bce,model_bce,improvement_vs_pattern
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,1.0,518,0.0583218336105346,0.056328646838665,0.0527035221457481,0.0643566798843908
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,5.0,545,0.0575620420277118,0.0560055039823055,0.0524974688887596,0.0626373274786393
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,9.0,559,0.0536849237978458,0.0524413883686065,0.0487887375056743,0.0696520625513954
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,13.0,514,0.0523844808340072,0.0513637587428092,0.0480683073401451,0.064159077982694
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,7.0,553,0.0512767061591148,0.0504060462117195,0.0474858619272708,0.0579332144438195
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,3.0,539,0.0516096279025077,0.0505498722195625,0.0467386804521083,0.0753946864771546
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,15.0,558,0.0476460121572017,0.0469970777630806,0.043933268636465,0.0651914815227587
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,11.0,546,0.0472119711339473,0.0464923307299613,0.0429814793169498,0.0755146355944901
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,4.0,555,0.0377834625542163,0.0371118895709514,0.0345481149852275,0.0690822972196656
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,12.0,546,0.0333525612950325,0.0325932949781417,0.0304973423480987,0.0643062516830117
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,6.0,587,0.0335248038172721,0.0328838415443897,0.0302038975059986,0.0814972920597938
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,14.0,604,0.029855465516448,0.0289622563868761,0.0270347278565168,0.0665531201924137
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,10.0,569,0.0146126095205545,0.009968458674848,0.0099436128512024,0.002492443862789
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,2.0,593,0.0145428925752639,0.0098310718312859,0.0099082980304956,-0.0078553183757572
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,0.0,572,0.0141992382705211,0.0093511343002319,0.0097205927595496,-0.0395094806101245
