variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,group,value,n_trials,global_bce,pattern_bce,model_bce,improvement_vs_pattern
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,0.0,572,0.014199238270521164,0.009351134300231934,0.009720592759549618,-0.03950948061012455
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,1.0,518,0.05832183361053467,0.05632864683866501,0.05270352214574814,0.06435667988439088
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,2.0,593,0.014542892575263977,0.009831071831285954,0.009908298030495644,-0.007855318375757257
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,3.0,539,0.05160962790250778,0.05054987221956253,0.04673868045210838,0.07539468647715467
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,4.0,555,0.037783462554216385,0.03711188957095146,0.034548114985227585,0.0690822972196656
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,5.0,545,0.05756204202771187,0.05600550398230553,0.05249746888875961,0.06263732747863938
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,6.0,587,0.033524803817272186,0.032883841544389725,0.03020389750599861,0.08149729205979389
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,7.0,553,0.05127670615911484,0.05040604621171951,0.04748586192727089,0.05793321444381953
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,8.0,552,0.014138933271169662,0.00937005877494812,0.00952944252640009,-0.017009898793601923
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,9.0,559,0.05368492379784584,0.05244138836860657,0.04878873750567436,0.06965206255139543
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,10.0,569,0.014612609520554543,0.00996845867484808,0.009943612851202488,0.0024924438627890876
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,11.0,546,0.04721197113394737,0.046492330729961395,0.042981479316949844,0.07551463559449015
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,12.0,546,0.0333525612950325,0.032593294978141785,0.030497342348098755,0.06430625168301178
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,13.0,514,0.05238448083400726,0.051363758742809296,0.04806830734014511,0.06415907798269405
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,14.0,604,0.02985546551644802,0.028962256386876106,0.027034727856516838,0.06655312019241374
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,pattern,15.0,558,0.04764601215720177,0.0469970777630806,0.04393326863646507,0.06519148152275873
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,1.0,4,0.038342684507369995,0.038713470101356506,0.03821878507733345,0.012778111151697621
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,1.5,9,0.02720346301794052,0.024433208629488945,0.02161148563027382,0.11548720604012402
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,2.0,10,0.03567928448319435,0.033095359802246094,0.03080771118402481,0.06912294146039247
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,2.5,8,0.04204542189836502,0.04012477397918701,0.03594721481204033,0.10411421057009843
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,3.0,16,0.025806911289691925,0.02553842030465603,0.023072686046361923,0.09654999130249908
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,3.5,21,0.03776433691382408,0.03691217303276062,0.03225415572524071,0.12619190160887542
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,4.0,24,0.02792801894247532,0.026012277230620384,0.02360229752957821,0.09264777857300648
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,4.5,21,0.030199745669960976,0.029075436294078827,0.02530081197619438,0.129821760186386
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,5.0,28,0.025961285457015038,0.024214595556259155,0.021808160468935966,0.09937952842252436
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,5.5,32,0.02165009081363678,0.02031046338379383,0.017028260976076126,0.1616015521505357
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,6.0,38,0.023458320647478104,0.02311077155172825,0.01938674785196781,0.16113800837090403
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,6.5,27,0.023088345304131508,0.02135554701089859,0.018547996878623962,0.13146702029415694
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,7.0,34,0.021544158458709717,0.020439540967345238,0.01809413731098175,0.11474835272037505
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,7.5,37,0.026056664064526558,0.025766391307115555,0.023777546361088753,0.07718756275651102
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,8.0,42,0.025279546156525612,0.02380279265344143,0.02118981070816517,0.1097762763941261
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,8.5,47,0.028354758396744728,0.027145404368638992,0.02566271647810936,0.05462021749223149
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,9.0,53,0.022278273478150368,0.020658360794186592,0.017855515703558922,0.1356760644540786
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,9.5,58,0.02857138216495514,0.026301074773073196,0.02373463660478592,0.0975792126531184
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,10.0,49,0.02210632711648941,0.02145496755838394,0.01830959878861904,0.14660328715042903
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,10.5,57,0.02286691963672638,0.021372949704527855,0.019308453425765038,0.09659388653899532
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context,z_window_summary,frequency,11.0,58,0.02436141110956669,0.02264638990163803,0.020415285602211952,0.09851920368397002
