variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,experiment_group,history_strategy,freq_strategy
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,1,0.03755137486891313,0.03754366402445641,0.03614363642670758,0.036137223499591906,True,0.0008,0.21307016909122467,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,2,0.03641316225738995,0.03640676359564144,0.03574653875864582,0.03574037753237886,True,0.0008,0.21881970763206482,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,3,0.03612143972751312,0.03611529163160531,,,False,0.0008,0.2205071896314621,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,4,0.03599196253027356,0.035985908408680975,0.035442816338990005,0.03543691078972335,True,0.0008,0.2227185219526291,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,5,0.03586437326500222,0.03585836587413125,,,False,0.0008,0.2250811904668808,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,6,0.03571279180370999,0.035706828348408284,0.035236288879723125,0.03523031499082124,True,0.0008,0.22818632423877716,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,7,0.03560940522381397,0.03560344642644913,,,False,0.0008,0.23083385825157166,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,8,0.03548944289574809,0.035483559102288266,0.03496795470850369,0.03496216382626465,True,0.0008,0.2338082492351532,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,9,0.03540525036890811,0.03539940520920336,,,False,0.0008,0.23666885495185852,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,10,0.03533853963324072,0.03533271684980642,0.03486071143437315,0.03485496174188709,True,0.0008,0.23827792704105377,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,11,0.03529867947441649,0.03529286066880621,,,False,0.0008,0.24034258723258972,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,12,0.03523133684896013,0.03522555310734862,0.03479039836695834,0.03478465471270376,True,0.0008,0.24293318390846252,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,13,0.03516410553372847,0.03515836447198606,,,False,0.0008,0.2447134554386139,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,14,0.03511212953215474,0.03510640722522118,0.03469291170086925,0.03468723762634092,True,0.0008,0.24669097363948822,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,15,0.035080077570228595,0.035074372296637915,,,False,0.0008,0.24791620671749115,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,16,0.03503642696294943,0.03503074375372498,0.03465673444180108,0.034651054629238634,True,0.0008,0.24951080977916718,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,17,0.034999759965205164,0.03499410346434708,,,False,0.0008,0.2509334981441498,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,18,0.03497230515714625,0.03496666214928126,0.03461386767434485,0.03460823680733056,True,0.0008,0.25271135568618774,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,19,0.03493252879937534,0.034926914382730136,,,False,0.0008,0.2541099786758423,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,20,0.03489379172735655,0.03488820231126972,0.034543620382762784,0.034538027708545145,True,0.0008,0.25551193952560425,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,21,0.034869183762729995,0.034863609483892714,,,False,0.0008,0.25689762830734253,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,22,0.034820750085069054,0.034815218539896685,0.03452551554633444,0.03451994085385476,True,0.0008,0.25854793190956116,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,23,0.03481517040295811,0.0348096378203349,,,False,0.0008,0.2600589394569397,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,24,0.03479204276082581,0.034786520936250065,0.03451454813114454,0.03450892030038818,True,0.0008,0.2608194053173065,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,25,0.03476005936221955,0.034754554386603624,,,False,0.0008,0.26285117864608765,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,26,0.03473868218145699,0.034733191797327916,0.03446357973864852,0.034458061525918016,True,0.0008,0.26485562324523926,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,27,0.03468452321398227,0.034679082612720624,,,False,0.0008,0.2667332589626312,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,28,0.03464641392264436,0.034640997256616776,0.03453144376342813,0.034525763444125855,True,0.0008,0.26863497495651245,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,29,0.034638920157947124,0.034633505741030454,,,False,0.0008,0.2701025903224945,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,30,0.034589801864748006,0.034584420739076936,0.03438688656931908,0.03438142008251614,True,0.0008,0.27225545048713684,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,31,0.03455357646679013,0.03454822083280812,,,False,0.0008,0.2738829553127289,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,32,0.03452801038091253,0.034522664506271276,0.03433589669640618,0.034330465149565045,True,0.0008,0.27558109164237976,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,33,0.034479237800227804,0.03447392705731788,,,False,0.0008,0.2774558961391449,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,34,0.03446625431646268,0.03446093546543681,0.03432779389148208,0.034322334771639304,True,0.0008,0.2790595293045044,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,35,0.034438496935670845,0.03443319005045024,,,False,0.0008,0.2805761694908142,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,36,0.03441429480915876,0.03440900269186412,0.03433831389805283,0.03433278861855952,True,0.0008,0.28206315636634827,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,37,0.034383509511018664,0.03437823089730905,,,False,0.0008,0.28404781222343445,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,38,0.03435000312983923,0.03434474955571086,0.03424504646732483,0.034239662576604775,True,0.0008,0.28550902009010315,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
task2_best_C4_bits_H24_GRU2_freqRBF16,task2_best_C4_bits_H24_GRU2_freqRBF16,random,z_window_summary,True,39,0.034316387123944296,0.03431115382414742,,,False,0.0008,0.287141889333725,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,single_best,H24_D64_embedding_layers2,direct_rbf16_plus_context
