variant,base_variant,split_id,experiment_group,history_strategy,freq_strategy,deploy_context_mode,group,value,n_trials,global_bce,pattern_bce,model_bce,improvement_vs_pattern
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,0.0,573,0.014167239889502525,0.009285363368690014,0.009390989318490028,-0.011375532179621775
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,1.0,552,0.06038948521018028,0.05817965790629387,0.054747942835092545,0.05898479287603515
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,2.0,550,0.014147126115858555,0.009424763731658459,0.009429440833628178,-0.000496256681110022
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,3.0,548,0.05101587623357773,0.05002424493432045,0.046611834317445755,0.0682151349081837
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,4.0,575,0.039359819144010544,0.03873754292726517,0.03642755746841431,0.059631697941920636
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,5.0,568,0.056839585304260254,0.05532833933830261,0.052383217960596085,0.05322988929233385
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,6.0,556,0.03354472294449806,0.03288312628865242,0.03068511374294758,0.06684317441141081
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,7.0,583,0.05018988251686096,0.04944072663784027,0.046346962451934814,0.06257521675536204
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,8.0,554,0.01435304619371891,0.00954506453126669,0.009538699872791767,0.0006668009895662329
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,9.0,489,0.05224445089697838,0.05119311437010765,0.04771938547492027,0.06785539301386467
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,10.0,561,0.01466465275734663,0.009955578483641148,0.009830367751419544,0.012576941905219042
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context,z_window_summary,pattern,11.0,532,0.04642624780535698,0.04577154293656349,0.04247057065367699,0.0721184402164779
