variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,aux_temporal_kl_weight,aux_spatial_kl_weight,aux_early_temporal_kl_weight,aux_first_time_weight,early_time_window,val_temporal_kl_loss,val_spatial_kl_loss,val_early_temporal_kl_loss,val_first_time_loss,val_joint_kl_loss,val_focal_loss,val_ranking_loss,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,experiment_group,history_strategy,freq_strategy
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,1,0.03769811477318401,0.03769011902443443,0.03678293771598609,0.03677599821427856,True,0.0008,0.21455292403697968,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2732416600423764,0.17272717054310338,0.16731510944706288,0.027122133963152883,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,2,0.03652959614378925,0.03652304245393864,0.03597261946560558,0.03596644817561948,True,0.0008,0.22451433539390564,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2573724490825576,0.16896564621984222,0.1673057663922358,0.027210279784921042,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,3,0.03609693166477556,0.03609077086441534,,,False,0.0008,0.22730891406536102,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,4,0.035932389034667,0.03592635330650363,0.035658563959478126,0.03565261939542596,True,0.0008,0.22934843599796295,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25404145525628336,0.16363199568624315,0.16593389221112737,0.02806538071537727,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,5,0.035823990113606756,0.03581799758738273,,,False,0.0008,0.23195303976535797,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,6,0.03567471731881992,0.03566877498353103,0.03536092514207735,0.03535504579276482,True,0.0008,0.2356356680393219,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2527687462291332,0.15635038423284,0.16550904922145518,0.026735536816010437,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,7,0.035520803861757634,0.03551489622755484,,,False,0.0008,0.23910383880138397,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,8,0.0354154518552144,0.0354095849043035,0.03515766276721869,0.0351518272651165,True,0.0008,0.24212491512298584,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25280834671891766,0.15154126323299644,0.1654459243805454,0.02751572131232581,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,9,0.03533414719264649,0.03532830783787221,,,False,0.0008,0.2448279708623886,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,10,0.035276019290017134,0.03527019520098914,0.03516712897320254,0.035161214851169076,True,0.0008,0.2471882849931717,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2526732189821207,0.14946683282670215,0.1648788256309383,0.02833824579120017,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,11,0.03520704443663013,0.03520125700150408,,,False,0.0008,0.2496086061000824,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
