frequency,n_samples,accuracy,accuracy_percent
1.0,15,1.0,100.0
2.0,23,1.0,100.0
3.0,32,0.96875,96.875
4.0,43,0.9534883720930233,95.34883720930233
5.0,54,0.9629629629629629,96.29629629629629
7.0,76,1.0,100.0
8.0,86,0.9651162790697675,96.51162790697676
10.0,109,0.9908256880733946,99.08256880733946
11.0,120,1.0,100.0
12.0,131,0.9923664122137404,99.23664122137404
13.0,141,0.9929078014184397,99.29078014184397
14.0,151,1.0,100.0
15.0,161,0.9813664596273292,98.13664596273291
16.0,175,0.9885714285714285,98.85714285714286
17.0,184,0.9782608695652174,97.82608695652173
19.0,206,0.9902912621359223,99.02912621359224
20.0,212,0.9905660377358491,99.05660377358491
21.0,227,0.986784140969163,98.6784140969163
22.0,239,0.9665271966527197,96.65271966527197
23.0,246,0.991869918699187,99.1869918699187
24.0,261,0.9808429118773946,98.08429118773945
25.0,270,0.9814814814814815,98.14814814814815
26.0,282,0.9822695035460993,98.22695035460993
27.0,293,0.9863481228668942,98.63481228668942
28.0,303,0.9867986798679867,98.67986798679867
29.0,312,0.9871794871794872,98.71794871794873
30.0,322,0.9782608695652174,97.82608695652173
31.0,339,0.9941002949852508,99.41002949852508
32.0,344,0.9854651162790697,98.54651162790698
34.0,367,0.9809264305177112,98.09264305177112
36.0,388,0.9896907216494846,98.96907216494846
37.0,397,0.9748110831234257,97.48110831234257
38.0,412,0.9951456310679612,99.51456310679612
39.0,420,0.9833333333333333,98.33333333333333
