pattern,n_samples,accuracy,accuracy_percent
0,460,0.9869565217391304,98.69565217391305
1,463,1.0,100.0
2,467,0.8501070663811563,85.01070663811564
3,453,1.0,100.0
4,465,0.9978494623655914,99.78494623655914
5,464,0.9978448275862069,99.78448275862068
6,459,0.9956427015250545,99.56427015250546
7,452,0.995575221238938,99.5575221238938
8,462,0.9956709956709957,99.56709956709958
9,455,1.0,100.0
10,449,0.9866369710467706,98.66369710467706
11,464,0.9956896551724138,99.56896551724138
12,451,0.9889135254988913,98.89135254988913
13,467,0.9914346895074947,99.14346895074947
14,457,0.9912472647702407,99.12472647702407
15,453,0.9933774834437086,99.33774834437085
