true_pattern,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,454,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,68,0,397,0,0,0,1,0,0,0,1,0,0,0,0,0
3,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,464,0,1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,463,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,1,0,457,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,1,0,450,0,0,0,0,0,1,0,0
8,0,0,0,0,0,0,0,0,460,0,2,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,5,0,443,1,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,462,0,0,0,1
12,0,0,0,0,1,0,0,0,0,0,1,0,446,0,3,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,463,0,3
14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,453,0
15,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,450
