pattern,n_samples,tp,fp,fn,precision,recall,f1,precision_percent,recall_percent,f1_percent
0,460,454,68,6,0.8697318007662835,0.9869565217391304,0.9246435845213848,86.97318007662835,98.69565217391305,92.46435845213848
1,463,463,0,0,1.0,1.0,1.0,100.0,100.0,100.0
2,467,397,6,70,0.9851116625310173,0.8501070663811563,0.9126436781609196,98.51116625310173,85.01070663811564,91.26436781609196
3,453,453,0,0,1.0,1.0,1.0,100.0,100.0,100.0
4,465,464,2,1,0.9957081545064378,0.9978494623655914,0.9967776584317938,99.57081545064378,99.78494623655914,99.67776584317937
5,464,463,1,1,0.9978448275862069,0.9978448275862069,0.9978448275862069,99.78448275862068,99.78448275862068,99.78448275862068
6,459,457,2,2,0.9956427015250545,0.9956427015250545,0.9956427015250545,99.56427015250546,99.56427015250546,99.56427015250546
7,452,450,2,2,0.995575221238938,0.995575221238938,0.995575221238938,99.5575221238938,99.5575221238938,99.5575221238938
8,462,460,5,2,0.989247311827957,0.9956709956709957,0.9924487594390506,98.9247311827957,99.56709956709958,99.24487594390506
9,455,455,0,0,1.0,1.0,1.0,100.0,100.0,100.0
10,449,443,6,6,0.9866369710467706,0.9866369710467706,0.9866369710467706,98.66369710467706,98.66369710467706,98.66369710467706
11,464,462,3,2,0.9935483870967742,0.9956896551724138,0.9946178686759957,99.35483870967742,99.56896551724138,99.46178686759957
12,451,446,4,5,0.9911111111111112,0.9889135254988913,0.9900110987791343,99.11111111111111,98.89135254988913,99.00110987791344
13,467,463,1,4,0.9978448275862069,0.9914346895074947,0.9946294307196563,99.78448275862068,99.14346895074947,99.46294307196563
14,457,453,4,4,0.9912472647702407,0.9912472647702407,0.9912472647702407,99.12472647702407,99.12472647702407,99.12472647702407
15,453,450,4,3,0.9911894273127754,0.9933774834437086,0.9922822491730982,99.11894273127754,99.33774834437085,99.22822491730982
